sage: K.<mu>=ParametricRealField([10])
INFO: 2020-11-10 12:33:29,774 Initialized ParametricRealField(names = ['mu'], values = [10])
sage: cProfile.run("portfolio2(10)")
         1272850074 function calls (1268400657 primitive calls) in 3117.526 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
151471619  277.180    0.000  532.928    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
   132428    0.281    0.000    0.411    0.000 <frozen importlib._bootstrap>:416(parent)
        1    0.004    0.004 3117.526 3117.526 <string>:1(<module>)
        2    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.014    0.014 3117.522 3117.522 <string>:2(portfolio2)
        1    0.000    0.000    0.000    0.000 <string>:67(<listcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:19(isfunction)
       36    0.000    0.000    0.000    0.000 abstract_method.py:203(__get__)
      738    0.002    0.000    0.002    0.000 additive_magmas.py:209(__init_extra__)
        1    0.000    0.000    0.000    0.000 bimodules.py:123(left_base_ring)
        1    0.000    0.000    0.000    0.000 bimodules.py:135(right_base_ring)
        1    0.000    0.000    0.000    0.000 bimodules.py:161(super_categories)
        1    0.000    0.000    0.000    0.000 bimodules.py:39(__init__)
        2    0.000    0.000    0.000    0.000 bimodules.py:58(_make_named_class_key)
        1    0.000    0.000    0.000    0.000 calculus.py:2274(_find_var)
        1    0.000    0.000    0.000    0.000 calculus.py:2353(symbolic_expression_from_string)
      512    0.001    0.000    0.002    0.000 callable.py:70(is_CallableSymbolicExpressionRing)
       36    0.000    0.000    0.002    0.000 category.py:1015(_super_categories_for_classes)
       72    0.001    0.000    0.006    0.000 category.py:1479(_make_named_class)
      144    0.000    0.000    0.000    0.000 category.py:1601(<genexpr>)
       51    0.000    0.000    0.004    0.000 category.py:1606(subcategory_class)
       37    0.000    0.000    0.002    0.000 category.py:1647(parent_class)
        1    0.000    0.000    0.000    0.000 category.py:1692(element_class)
  404/402    0.001    0.000    0.001    0.000 category.py:1781(is_subcategory)
     39/3    0.000    0.000    0.002    0.001 category.py:1901(_meet_)
     82/8    0.000    0.000    0.002    0.000 category.py:1956(<genexpr>)
      5/1    0.000    0.000    0.001    0.001 category.py:1990(axioms)
     29/5    0.000    0.000    0.001    0.000 category.py:2008(<genexpr>)
        1    0.000    0.000    0.002    0.002 category.py:2012(_with_axiom_as_tuple)
        1    0.000    0.000    0.002    0.002 category.py:2069(_with_axiom)
     33/3    0.000    0.000    0.002    0.001 category.py:2306(join)
      663    0.004    0.000    0.010    0.000 category.py:2511(category)
       76    0.000    0.000    0.000    0.000 category.py:2583(is_Category)
       17    0.000    0.000    0.000    0.000 category.py:2715(_make_named_class)
        4    0.000    0.000    0.000    0.000 category.py:3031(_subcategory_hook_)
       10    0.000    0.000    0.000    0.000 category.py:3052(<genexpr>)
  438/434    0.001    0.000    0.003    0.000 category.py:3054(is_subcategory)
      851    0.006    0.000    0.021    0.000 category.py:419(__classcall__)
       51    0.001    0.000    0.009    0.000 category.py:450(__init__)
        4    0.000    0.000    0.000    0.000 category.py:497(__repr_object_names)
        4    0.000    0.000    0.001    0.000 category.py:523(_repr_object_names)
        4    0.000    0.000    0.001    0.000 category.py:607(_repr_)
      529    0.001    0.000    0.002    0.000 category.py:648(_subcategory_hook_)
        2    0.000    0.000    0.000    0.000 category.py:692(__contains__)
      192    0.001    0.000    0.031    0.000 category.py:710(__classcontains__)
     7105    0.013    0.000    0.023    0.000 category.py:750(<genexpr>)
       36    0.000    0.000    0.001    0.000 category.py:845(_all_super_categories)
       36    0.000    0.000    0.000    0.000 category.py:870(<listcomp>)
      192    0.000    0.000    0.000    0.000 category.py:938(all_super_categories)
       41    0.000    0.000    0.002    0.000 category.py:990(_super_categories)
        5    0.000    0.000    0.001    0.000 category_types.py:167(__init__)
       10    0.000    0.000    0.000    0.000 category_types.py:206(_make_named_class_key)
        3    0.000    0.000    0.000    0.000 category_types.py:255(base)
        5    0.000    0.000    0.001    0.000 category_types.py:334(__init__)
        3    0.000    0.000    0.000    0.000 category_types.py:350(base_ring)
       33    0.000    0.000    0.000    0.000 category_types.py:363(_subcategory_hook_)
       36    0.000    0.000    0.007    0.000 category_types.py:48(__init__)
       36    0.000    0.000    0.000    0.000 category_types.py:86(super_categories)
  588/551    0.005    0.000    0.039    0.000 category_with_axiom.py:1966(__classcall__)
        1    0.000    0.000    0.000    0.000 category_with_axiom.py:2006(__classget__)
        2    0.000    0.000    0.000    0.000 category_with_axiom.py:2205(_repr_object_names_static)
        2    0.000    0.000    0.000    0.000 category_with_axiom.py:2291(_repr_object_names)
        1    0.000    0.000    0.000    0.000 category_with_axiom.py:2493(__init__)
       34    0.000    0.000    0.000    0.000 complex_field.py:74(is_ComplexField)
        2    0.000    0.000    0.000    0.000 copy.py:111(_copy_immutable)
       89    0.000    0.000    0.001    0.000 copy.py:66(copy)
     1471    0.009    0.000    0.017    0.000 dynamic_class.py:127(dynamic_class)
      127    0.006    0.000    0.007    0.000 dynamic_class.py:346(dynamic_class_internal)
      254    0.000    0.000    0.001    0.000 dynamic_class.py:445(<genexpr>)
      668    0.006    0.000    0.019    0.000 fields.py:63(__contains__)
       34    0.000    0.000    0.000    0.000 fraction_field.py:138(is_FractionField)
   153516    0.332    0.000    0.473    0.000 fraction_field.py:416(base_ring)
      637    0.002    0.000    0.003    0.000 free_module.py:1038(__richcmp__)
       89    0.001    0.000    0.001    0.000 free_module.py:1276(_eq)
       33    0.000    0.000    0.001    0.000 free_module.py:1747(coordinates)
   106387    0.108    0.000    0.108    0.000 free_module.py:1871(degree)
        7    0.000    0.000    0.000    0.000 free_module.py:1887(dimension)
     6711    0.008    0.000    0.008    0.000 free_module.py:1959(coordinate_ring)
       10    0.000    0.000    0.000    0.000 free_module.py:2211(is_sparse)
      402    0.000    0.000    0.000    0.000 free_module.py:2294(rank)
     3261    0.045    0.000    0.049    0.000 free_module.py:2364(zero_vector)
   106353    0.237    0.000    0.237    0.000 free_module.py:327(create_key)
      514    0.012    0.000    0.122    0.000 free_module.py:348(create_object)
        1    0.000    0.000    0.001    0.001 free_module.py:3536(_Hom_)
      514    0.002    0.000    0.101    0.000 free_module.py:4564(__init__)
      201    0.001    0.000    0.002    0.000 free_module.py:4602(__hash__)
      520    0.002    0.000    0.004    0.000 free_module.py:4624(_coerce_map_from_)
       18    0.000    0.000    0.000    0.000 free_module.py:4889(is_ambient)
        1    0.000    0.000    0.001    0.001 free_module.py:4916(basis)
        2    0.000    0.000    0.000    0.000 free_module.py:4966(change_ring)
      514    0.002    0.000    0.103    0.000 free_module.py:5225(__init__)
       33    0.000    0.000    0.001    0.000 free_module.py:5327(coordinate_vector)
       90    0.000    0.000    0.018    0.000 free_module.py:5395(__init__)
       87    0.000    0.000    0.018    0.000 free_module.py:5487(__init__)
        1    0.000    0.000    0.000    0.000 free_module.py:5509(_repr_)
       33    0.000    0.000    0.000    0.000 free_module.py:5553(ambient_vector_space)
   103723    0.434    0.000    1.459    0.000 free_module.py:5577(_element_constructor_)
       10    0.000    0.000    0.000    0.000 free_module.py:631(is_FreeModule)
      514    0.030    0.000    0.099    0.000 free_module.py:661(__init__)
        1    0.000    0.000    0.000    0.000 free_module.py:7178(basis_seq)
      514    0.009    0.000    0.018    0.000 free_module.py:7226(element_class)
        4    0.000    0.000    0.000    0.000 free_module.py:764(construction)
        1    0.000    0.000    0.000    0.000 free_module.py:783(_Hom_)
   105698    0.763    0.000    3.104    0.000 free_module.py:972(_element_constructor_)
        4    0.000    0.000    0.000    0.000 free_module_homspace.py:226(_matrix_space)
        1    0.000    0.000    0.001    0.001 free_module_homspace.py:279(identity)
        2    0.000    0.000    0.000    0.000 free_module_homspace.py:86(is_FreeModuleHomspace)
        2    0.000    0.000    0.001    0.000 free_module_morphism.py:66(__init__)
        2    0.000    0.000    0.000    0.000 free_quadratic_module.py:233(is_FreeQuadraticModule)
        1    0.000    0.000    0.000    0.000 functional.py:410(symbolic_sum)
        9    0.000    0.000    0.001    0.000 groupoid.py:34(__init__)
        9    0.000    0.000    0.000    0.000 groupoid.py:61(_make_named_class_key)
        1    0.000    0.000    0.001    0.001 homset.py:1161(one)
      620    0.001    0.000    0.001    0.000 homset.py:1177(domain)
      620    0.001    0.000    0.001    0.000 homset.py:1192(codomain)
    79/78    0.000    0.000    0.004    0.000 homset.py:1236(__init__)
        2    0.000    0.000    0.000    0.000 homset.py:1259(is_Homset)
       77    0.001    0.000    0.003    0.000 homset.py:40(RingHomset)
  612/611    0.011    0.000    0.018    0.000 homset.py:583(__init__)
       77    0.000    0.000    0.003    0.000 homset.py:71(__init__)
     1222    0.001    0.000    0.001    0.000 homset.py:752(homset_category)
  650/611    0.021    0.000    0.057    0.000 homset.py:84(Hom)
        1    0.000    0.000    0.000    0.000 homset.py:950(_abstract_element_class)
        1    0.000    0.000    0.000    0.000 homsets.py:314(is_endomorphism_set)
        2    0.000    0.000    0.000    0.000 inspect.py:1016(getargs)
        2    0.000    0.000    0.000    0.000 inspect.py:1026(_getfullargs)
        2    0.000    0.000    0.000    0.000 inspect.py:252(iscode)
        3    0.000    0.000    0.000    0.000 inspect.py:72(isclass)
    14764    0.031    0.000    0.046    0.000 integer_mod_ring.py:236(is_IntegerModRing)
      747    0.002    0.000    0.002    0.000 interactive_simplex_method.py:1017(constant_terms)
     8567    0.009    0.000    0.009    0.000 interactive_simplex_method.py:1038(constraint_coefficients)
      117    0.000    0.000    0.000    0.000 interactive_simplex_method.py:1061(constraint_types)
        2    0.000    0.000    0.000    0.000 interactive_simplex_method.py:1080(decision_variables)
        1    0.000    0.000    0.000    0.000 interactive_simplex_method.py:1278(is_negative)
        2    0.000    0.000    0.000    0.000 interactive_simplex_method.py:1296(is_primal)
    22247    0.055    0.000    0.079    0.000 interactive_simplex_method.py:1350(n_constraints)
    22864    0.050    0.000    0.072    0.000 interactive_simplex_method.py:1371(n_variables)
      758    0.002    0.000    0.002    0.000 interactive_simplex_method.py:1392(objective_coefficients)
      119    0.000    0.000    0.000    0.000 interactive_simplex_method.py:1413(objective_constant_term)
      117    0.000    0.000    0.000    0.000 interactive_simplex_method.py:1689(problem_type)
        1    0.001    0.001    0.086    0.086 interactive_simplex_method.py:1713(standard_form)
       11    0.000    0.000    0.000    0.000 interactive_simplex_method.py:1803(<genexpr>)
       34    0.000    0.000    0.000    0.000 interactive_simplex_method.py:1815(<genexpr>)
      117    0.000    0.000    0.000    0.000 interactive_simplex_method.py:1858(variable_types)
        1    0.000    0.000    0.058    0.058 interactive_simplex_method.py:1961(__init__)
        1    0.000    0.000    0.000    0.000 interactive_simplex_method.py:1996(<listcomp>)
        1    0.000    0.000    0.013    0.013 interactive_simplex_method.py:2005(<listcomp>)
      105    0.007    0.000    0.012    0.000 interactive_simplex_method.py:213(_assemble_arrayl)
        4    0.000    0.000    0.000    0.000 interactive_simplex_method.py:2140(auxiliary_variable)
    21676    0.022    0.000    0.022    0.000 interactive_simplex_method.py:2169(coordinate_ring)
        1    0.000    0.000    0.000    0.000 interactive_simplex_method.py:2336(final_revised_dictionary)
        1    0.000    0.000    0.101    0.101 interactive_simplex_method.py:2460(revised_dictionary)
        1    0.022    0.022 3107.063 3107.063 interactive_simplex_method.py:2510(run_revised_simplex_method)
        1    0.000    0.000    0.000    0.000 interactive_simplex_method.py:2651(slack_variables)
        1    0.000    0.000    0.000    0.000 interactive_simplex_method.py:2689(__init__)
      105    0.002    0.000  356.632    3.396 interactive_simplex_method.py:2705(_html_)
      104    0.003    0.000    0.138    0.001 interactive_simplex_method.py:2729(_preupdate_output)
      955    0.004    0.000    0.029    0.000 interactive_simplex_method.py:2822(base_ring)
       10    0.001    0.000    7.851    0.785 interactive_simplex_method.py:2865(basic_solution)
       10    0.000    0.000    0.000    0.000 interactive_simplex_method.py:2904(<listcomp>)
       10    0.000    0.000    0.000    0.000 interactive_simplex_method.py:2906(<listcomp>)
     5219    0.019    0.000    0.128    0.000 interactive_simplex_method.py:2955(coordinate_ring)
      104    0.005    0.000    2.817    0.027 interactive_simplex_method.py:3022(enter)
      208    0.000    0.000    0.000    0.000 interactive_simplex_method.py:3068(entering)
      520    0.003    0.000  165.652    0.319 interactive_simplex_method.py:3091(entering_coefficients)
      316    0.006    0.000  163.081    0.516 interactive_simplex_method.py:3115(is_dual_feasible)
     2884    0.025    0.000    0.226    0.000 interactive_simplex_method.py:3137(<genexpr>)
      420    0.004    0.000  128.035    0.305 interactive_simplex_method.py:3139(is_feasible)
    35280    0.268    0.000    2.956    0.000 interactive_simplex_method.py:3161(<genexpr>)
      108    0.001    0.000   89.724    0.831 interactive_simplex_method.py:3163(is_optimal)
      104    0.057    0.001    0.079    0.001 interactive_simplex_method.py:3192(leave)
      312    0.000    0.000    0.000    0.000 interactive_simplex_method.py:3238(leaving)
      104    0.002    0.000  140.896    1.355 interactive_simplex_method.py:3412(possible_entering)
      104    0.024    0.000    0.291    0.003 interactive_simplex_method.py:3441(<listcomp>)
      104    0.001    0.000   96.918    0.932 interactive_simplex_method.py:3447(possible_leaving)
      104    0.006    0.000    0.254    0.002 interactive_simplex_method.py:3476(<listcomp>)
      117    0.009    0.000    0.101    0.001 interactive_simplex_method.py:352(variable)
      208    0.010    0.000  129.708    0.624 interactive_simplex_method.py:3523(ratios)
      208    0.139    0.001    2.309    0.011 interactive_simplex_method.py:3557(<listcomp>)
        1    0.020    0.020 3105.013 3105.013 interactive_simplex_method.py:3677(run_simplex_method)
       35    0.000    0.000    0.000    0.000 interactive_simplex_method.py:444(default_variable_name)
        1    0.000    0.000    0.095    0.095 interactive_simplex_method.py:4452(__init__)
        1    0.003    0.003    0.088    0.088 interactive_simplex_method.py:4473(<listcomp>)
      105    1.207    0.011  356.607    3.396 interactive_simplex_method.py:4511(_latex_)
     8715    0.950    0.000   24.756    0.003 interactive_simplex_method.py:4592(<listcomp>)
      420    0.006    0.000    2.202    0.005 interactive_simplex_method.py:4602(make_line)
      420    0.023    0.000    2.191    0.005 interactive_simplex_method.py:4603(<listcomp>)
      104    0.014    0.000   79.258    0.762 interactive_simplex_method.py:4633(_preupdate_output)
    21675    0.846    0.000   11.215    0.001 interactive_simplex_method.py:4679(A)
        2    0.000    0.000    0.000    0.000 interactive_simplex_method.py:469(style)
      630    0.018    0.000   29.388    0.047 interactive_simplex_method.py:4718(A_N)
      630    0.043    0.000   11.009    0.017 interactive_simplex_method.py:4739(<listcomp>)
        1    0.000    0.000    0.068    0.068 interactive_simplex_method.py:4741(B)
        1    0.000    0.000    0.067    0.067 interactive_simplex_method.py:4762(<listcomp>)
     2208    0.003    0.000    1.268    0.001 interactive_simplex_method.py:4764(B_inverse)
      208    0.004    0.000   66.474    0.320 interactive_simplex_method.py:4792(E)
